model,train_accuracy,validation_accuracy,train_f1,validation_f1,train_roc_auc,validation_roc_auc,fit_seconds,max_depth,roc_auc_gap
logistic_regression,0.7597765363128491,0.7166666666666667,0.5567010309278351,0.5142857142857142,0.8332858364206327,0.7792041078305519,0.030752200000279117,,0.05408172859008076
random_forest,1.0,0.8166666666666667,1.0,0.7027027027027027,1.0,0.8793324775353016,0.60958699999901,,0.12066752246469836
decision_tree_depth_None,1.0,0.75,1.0,0.5945945945945946,1.0,0.7041078305519898,0.02417559999594232,None,0.2958921694480102
